Emotion 1,Emotion 2,Correlation,Absolute Correlation
grief,sadness,0.7904330377132388,0.7904330377132388
fear,nervousness,0.6486933149119476,0.6486933149119476
anger,annoyance,0.5716601516094437,0.5716601516094437
disappointment,sadness,0.561635724943188,0.561635724943188
annoyance,disgust,0.4124277422887129,0.4124277422887129
joy,relief,0.4059017568768062,0.4059017568768062
confusion,curiosity,0.376592694085666,0.376592694085666
disappointment,grief,0.3689006804341216,0.3689006804341216
pride,relief,0.3275618986104054,0.3275618986104054
annoyance,disappointment,0.32601213820308755,0.32601213820308755
grief,remorse,0.3135988845463427,0.3135988845463427
annoyance,disapproval,0.2732107909083116,0.2732107909083116
gratitude,neutral,-0.2714184488920612,0.2714184488920612
caring,optimism,0.2641823769559277,0.2641823769559277
excitement,surprise,0.25838174468929603,0.25838174468929603
anger,disgust,0.25766610259178935,0.25766610259178935
realization,relief,0.2539553768747918,0.2539553768747918
approval,sadness,-0.2336578953962164,0.2336578953962164
admiration,neutral,-0.23254356618554897,0.23254356618554897
disappointment,gratitude,-0.22356373727681997,0.22356373727681997
admiration,sadness,-0.21939239657249363,0.21939239657249363
remorse,sadness,0.21538041786857287,0.21538041786857287
admiration,disappointment,-0.21442694218972075,0.21442694218972075
approval,grief,-0.21061613962726783,0.21061613962726783
grief,neutral,-0.20655680360364712,0.20655680360364712
disappointment,embarrassment,0.20647596972828686,0.20647596972828686
excitement,joy,0.20177376401113856,0.20177376401113856
approval,disappointment,-0.20010719959539466,0.20010719959539466
gratitude,sadness,-0.1975253242361014,0.1975253242361014
admiration,grief,-0.1937695270330353,0.1937695270330353
grief,nervousness,0.18286189615208667,0.18286189615208667
sadness,neutral,-0.1794894226741609,0.1794894226741609
approval,gratitude,-0.17741560940396683,0.17741560940396683
caring,disappointment,-0.17620025895810248,0.17620025895810248
disgust,embarrassment,0.17611436114635967,0.17611436114635967
annoyance,embarrassment,0.17609457796656205,0.17609457796656205
disappointment,disapproval,0.1754701029613332,0.1754701029613332
disappointment,disgust,0.17452196879376386,0.17452196879376386
caring,gratitude,-0.16819091800578306,0.16819091800578306
admiration,pride,0.15572999941847065,0.15572999941847065
annoyance,gratitude,-0.15202181856901104,0.15202181856901104
approval,relief,0.15003050566468898,0.15003050566468898
desire,optimism,0.14937826718976832,0.14937826718976832
disapproval,disgust,0.14797187064081316,0.14797187064081316
admiration,nervousness,-0.1478041599969181,0.1478041599969181
admiration,annoyance,-0.14624723700192907,0.14624723700192907
gratitude,grief,-0.1438000349413323,0.1438000349413323
embarrassment,remorse,0.14179619150811681,0.14179619150811681
admiration,realization,-0.1401644865366769,0.1401644865366769
excitement,relief,0.13955303790025347,0.13955303790025347
gratitude,nervousness,-0.13863187317368553,0.13863187317368553
disappointment,neutral,-0.13780260907636596,0.13780260907636596
embarrassment,realization,0.13684443515060352,0.13684443515060352
joy,pride,0.134456569203537,0.134456569203537
admiration,gratitude,0.13375353549305852,0.13375353549305852
admiration,fear,-0.1321343110553809,0.1321343110553809
