,Mean,Median,Std Dev,Skewness,Kurtosis
pride,0.0055817977586905924,0.0017641633749008179,0.021287232098119228,20.401690601123374,551.0243461378167
embarrassment,0.009990403197077818,0.0014347113901749253,0.04175641700148183,13.68595791384602,233.5513484311642
disgust,0.010008584454040011,0.001698509557172656,0.04239174867627768,11.854238505635477,175.46519001889774
excitement,0.012325949087340608,0.003289011074230075,0.0437257180167774,10.786384273729064,151.10337844832478
anger,0.011710161453710816,0.0018674787133932114,0.05556494897913742,10.267768125810234,124.20515219691524
surprise,0.012115164435946955,0.001495723845437169,0.06861186797446207,10.131795959626364,111.72760394890959
disapproval,0.01697064073146854,0.004114047158509493,0.0584264930628015,9.257544496657808,104.96380937104372
remorse,0.016277339786448443,0.0030555089469999075,0.05753754405176771,8.793105764051369,90.25313459833136
amusement,0.015046446589220587,0.0015370359178632498,0.09333351050954175,8.49374475509578,74.06035352777972
confusion,0.017967109601042558,0.00161276338621974,0.07370500716926981,7.604669384396665,68.56392028696071
desire,0.026508658081886276,0.0036151474341750145,0.09997235411527754,6.270603071994122,42.2007893523611
relief,0.014753736308273459,0.004003041423857212,0.033581223834833106,5.936242850492671,49.78597370731987
joy,0.038073932736340695,0.0056665921583771706,0.12052310324729894,5.216395877628746,29.057998373918068
annoyance,0.03186624650389618,0.006867572199553251,0.08237098311360296,4.9768157583577155,28.942545646271334
curiosity,0.032505418444353784,0.002213082043454051,0.11813822045449383,4.7558654586700975,23.319816951820687
realization,0.05326617108347205,0.01608980819582939,0.11294788030153265,4.542312032499419,24.199967569610866
fear,0.04970342109710869,0.001774956239387393,0.16278352762043743,4.011057248901963,15.809519956622115
love,0.05583498058038908,0.0028495220467448235,0.18225635175043464,3.9271615672611286,14.660661377490943
nervousness,0.04608047380208484,0.0022814818657934666,0.14085040958494993,3.851403916857273,14.478451645056577
optimism,0.06804559114580996,0.009894022718071938,0.16376572272890988,3.7093517442465362,14.104979542865316
grief,0.007876266517887497,0.002437571994960308,0.012664745946414058,3.0905221994779635,13.868093236960906
approval,0.09477534484513622,0.02649669535458088,0.16449037913411477,2.837494500151539,8.298566850277027
caring,0.10526220131662628,0.009988483041524887,0.21998554122781666,2.507919669574757,5.224411565016986
disappointment,0.08472143309928898,0.011795233003795147,0.15241890370955619,2.4330091062006507,5.762803458186061
neutral,0.13579420707428294,0.02858642488718033,0.23590764009811416,2.2503524432285227,4.13357050726178
admiration,0.13752488979347388,0.0057800402864813805,0.28679767727117667,2.0694167958506045,2.6847774736466943
sadness,0.1432158988955562,0.008377382531762123,0.26279977976982966,1.9369714761673131,2.420014566784143
gratitude,0.17866105395460566,0.00646093999966979,0.359785291546662,1.729602053993211,1.0674998051544553
