Emotion,Q1,Q3,IQR,Lower Bound,Upper Bound,Outlier Count,Outlier Percentage
admiration,0.0019471049890853465,0.04427972808480263,0.04233262309571728,-0.061551829654490575,0.10777866272837855,12307,20.149314821788174
gratitude,0.0018855661619454622,0.03723877854645252,0.03535321238450706,-0.05114425241481513,0.09026859712321311,12259,20.070728073478612
sadness,0.0012555107241496444,0.12279200553894043,0.12153649481479079,-0.18104923149803653,0.3050967477611266,10661,17.4544442443393
caring,0.0026941088726744056,0.05910462886095047,0.056410519988276064,-0.08192167110973969,0.14372040884336457,10653,17.44134645295437
love,0.001414706523064524,0.007092579267919064,0.00567787274485454,-0.0071021025942172855,0.015609388385200873,10300,16.863406408094438
fear,0.0005522618012037128,0.005988372955471277,0.005436111154267564,-0.007601904930197634,0.014142539686872624,10262,16.80119189901603
nervousness,0.0004298733256291598,0.010652616154402494,0.010222742828773335,-0.014904240917530842,0.025986730397562496,9432,15.442296042829778
confusion,0.0008733393624424934,0.004515854874625802,0.0036425155121833086,-0.0045904339058324695,0.009979628142900765,9329,15.273661978748834
curiosity,0.0012444900930859149,0.004693793132901192,0.003449303039815277,-0.0039294644666370004,0.009867747692624107,9215,15.087018451513615
optimism,0.0038847789401188493,0.039402980357408524,0.035518201417289674,-0.04939252318581566,0.09268028248334303,9174,15.019892270665858
neutral,0.007455221842974424,0.12520839273929596,0.11775317089632154,-0.16917453450150788,0.30183814908377826,9062,14.836523191276871
annoyance,0.002901590196415782,0.019020174629986286,0.016118584433570504,-0.021276286453939974,0.04319805128034204,8577,14.042469588565629
joy,0.002299865009263158,0.016407134011387825,0.014107269002124667,-0.018861038493923843,0.037568037514574826,8419,13.783788208713304
desire,0.001661923888605088,0.009869921021163464,0.008207997132558376,-0.010650071810232475,0.022181916720001027,8389,13.734671491019826
disappointment,0.00174194568535313,0.08835364133119583,0.0866116956458427,-0.12817559778341092,0.21827118479995988,8346,13.66427086232584
disgust,0.0006413425726350397,0.005327839637175202,0.004686497064540163,-0.006388403024175204,0.012357585233985446,8113,13.28279768823982
approval,0.009956097695976496,0.09172004088759422,0.08176394319161773,-0.1126898170914501,0.21436595567502081,7873,12.88986394669199
embarrassment,0.0003659455105662346,0.00658478238619864,0.006218836875632405,-0.008962309802882373,0.015913037699647248,7823,12.80800275053619
disapproval,0.001445893314667046,0.011096802540123463,0.009650909225456417,-0.013030470523517579,0.025573166378308088,7433,12.169485420520964
anger,0.0007010872068349272,0.004876260878518224,0.0041751736716832966,-0.005561673300690018,0.011139021386043169,7130,11.673406571816827
realization,0.005897487513720989,0.04660896956920624,0.04071148205548525,-0.055169735569506884,0.10767619265243411,7008,11.47366525319668
excitement,0.0013717107940465212,0.00840402627363801,0.007032315479591489,-0.009176762425340712,0.018952499493025243,6999,11.458930237888636
surprise,0.0005997333209961653,0.004471541615203023,0.0038718082942068577,-0.005207979120314121,0.01027925405651331,6912,11.316491756577546
relief,0.001271951012313366,0.013383164536207914,0.012111213523894548,-0.016894869273528457,0.03154998482204974,6878,11.260826143191604
pride,0.0006697141798213124,0.004632223630324006,0.003962509450502694,-0.005274049995932728,0.010575987806078047,6738,11.031614793955368
remorse,0.0007156210485845804,0.012216047383844852,0.011500426335260272,-0.016535018454305828,0.02946668688673526,6559,10.738551711717612
grief,0.0006288718432188034,0.009504903107881546,0.008876031264662743,-0.01268517505377531,0.02281895000487566,6317,10.342343522323548
amusement,0.00075780731276609,0.0033749029971659184,0.0026170956843998283,-0.0031678362138336524,0.007300546523765661,6001,9.824980762618903
