Principal Component,Explained Variance Ratio,Cumulative Variance
PC1,0.10541007817738994,0.10541007817738994
PC2,0.07325262742184739,0.17866270559923733
PC3,0.06701377122921721,0.24567647682845456
PC4,0.06275771189499633,0.3084341887234509
PC5,0.057953574756879137,0.36638776348033003
PC6,0.05276084629753943,0.41914860977786944
PC7,0.04674537917071993,0.46589398894858935
PC8,0.043722188495939444,0.5096161774445288
PC9,0.04027320739121329,0.5498893848357421
PC10,0.03795290569436054,0.5878422905301026
PC11,0.03573781506414192,0.6235801055942445
PC12,0.035688929501694264,0.6592690350959387
PC13,0.034704262802992644,0.6939732978989314
PC14,0.033276561588888594,0.72724985948782
PC15,0.0310909419788396,0.7583408014666595
PC16,0.030241503368303155,0.7885823048349626
PC17,0.028982801653493522,0.8175651064884562
PC18,0.02602492674371161,0.8435900332321677
PC19,0.024825959198156125,0.8684159924303239
PC20,0.023214166121530128,0.891630158551854
PC21,0.022023350656859782,0.9136535092087138
PC22,0.021211826163600185,0.934865335372314
PC23,0.01810234366858193,0.9529676790408959
PC24,0.01549749537008229,0.9684651744109781
PC25,0.012055022343636496,0.9805201967546147
PC26,0.011176712695873664,0.9916969094504883
PC27,0.005878948818978915,0.9975758582694672
PC28,0.002424141730532621,0.9999999999999998
