,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28
admiration,-0.22336702302575764,-0.014001303871662573,-0.07530779914811374,-0.02247926704580888,0.40209002070448846,0.039604453663805286,-0.04759056214029433,-0.11459508296924213,0.16593108943692467,-0.20827739290593147,0.09648211221676126,0.12107817342835857,0.5190593427132077,0.0030059375948748557,-0.024218113092720758,0.1183221460229624,0.08091148593377194,-0.15057389381869976,-0.0047459998684144114,-0.2773508894398328,-0.3517538827724874,-0.009322862796409391,-0.09925102396729495,0.20202199628105572,0.03925395657646626,-0.024297306996006768,0.18144999877722925,0.2655018906962473
amusement,-0.019593722795524626,0.04466270012256199,0.04418701579465073,0.005107321866220014,0.07203771497209133,-0.053584567564085195,0.0316910857018093,0.10152915093952333,-0.1506880159630805,0.7126342322593611,-0.32465362421371724,-0.182059605370274,0.3857311224701949,0.10942944274053008,-0.2874844010646395,-0.016376960989148502,-0.06299515825229421,0.11063991885173453,-0.08746747245151895,0.12126909609201589,-0.015609425360988305,0.00448064697979507,-0.0006720386319781363,0.08888201086909794,-0.030582555179533448,0.006726521517913399,0.08320535731540646,0.09410861867154446
anger,0.1938925208230845,0.3335996898882653,0.04317061446752032,-0.2403543600056149,0.1179509062352421,0.1661886732293519,0.08270431364230767,0.11509396770127477,-0.09502124409229912,-0.14471589355068662,-0.09858182105330866,-0.1075512737530564,-0.097226467403416,-0.3093140547398184,-0.3457123644402243,-0.012211152223411494,0.09233439312784236,-0.31502607727700205,-0.11743556379543751,-0.051949657087553544,0.07679392052494236,0.014570546258581094,-0.25451815579388826,-0.0871709821507267,-0.42812571199667726,0.22802659446284224,0.11664998987412338,0.04662403281419977
annoyance,0.2771081862815541,0.4087613139571886,0.0948529440266879,-0.2854667855999044,0.07147937894842017,0.10077953595016528,0.05599078163410178,0.03075248422464485,-0.022209427048349495,-0.0402128409579065,-0.029910080211512074,-0.019682441501753137,-0.02175967376278305,-0.09022912789333944,-0.09656232232345302,-0.023516506872201644,0.023570505452279098,-0.12552776898731763,-0.07246067107737086,0.014383754468935878,0.012007537622059593,-0.017570605984379817,0.23369254511023446,0.10055244117517938,0.6206962418428169,-0.36462680970697176,-0.09182672724220418,0.10397656317519859
approval,-0.2165528693778076,0.01995195518106228,0.038719607252990784,-0.17202566544994405,-0.3235272899686943,0.0179343302374536,-0.1786528412218311,-0.03485080593356925,0.036395997383914136,-0.14757943508900187,0.11807436137399502,-0.08246965024695634,0.3885365179938272,-0.19343382337999154,0.04451857355127813,-0.2619027322616739,0.40482655533031797,0.2002220610619839,-0.08608365584037495,0.20631767235576004,0.40169393822241256,0.001126694563164875,-0.00989559565525414,-0.09150537373120154,0.06628715841558791,0.044362452772675844,0.1395409005887279,0.17628808099586893
caring,-0.12460080528002014,-0.08404530928536305,-0.11965136617801582,-0.14280340581324952,-0.3299846288415188,0.293314983639869,0.31321216312100636,-0.09175559861519979,-0.050739743470339105,-0.12252631498155789,-0.023864468827607684,-0.37587886768600115,-0.08045501200940565,0.14796107559252147,0.0170768773673363,0.027604513848142803,-0.13766692054017513,0.12652571655357708,-0.3589357065618172,-0.038499243441656006,-0.39063046071410557,0.07705406837048275,0.1067601330736317,-0.19787172195022373,0.04018876765482812,0.07015218995189888,0.12013083454397822,0.23889374208311628
confusion,0.057887609395687566,0.1456101768721476,0.12082015265095017,0.24095370119537513,-0.039354680061395725,-0.3471047157821307,0.36986104315579155,-0.26695552850671295,-0.18678105240567414,-0.08255036950684057,0.044096019206104876,0.08986202102429028,0.06364073164156762,0.025906117291113494,-0.023982088650881587,-0.1311959482076056,0.05875872504418316,-0.06925261707831527,0.008945051140954719,0.07235020553413817,0.001861011268737698,0.688676342259334,-0.04792309590076087,0.04546888429849288,0.017143874396119956,0.013966897833173425,0.03576821074516461,0.06703276099099428
curiosity,0.014606009574283447,0.12325493379908141,0.07022156698037929,0.2816992359116474,-0.03366367052906388,-0.36247726993897406,0.4186168869516875,-0.10634934499901307,-0.19227466848910393,-0.17481068729084812,-0.06607814318086122,0.010273566171876056,0.03681632852821398,-0.1385923114073347,-0.06377614024808727,0.025436040117287624,0.0108239020689743,0.14811740045741045,0.013795825738975235,0.019539899822544463,-0.010737170779949672,-0.6596562628080275,-0.02018027503681148,-0.0303635555634164,0.02986729301010435,-0.0027935091743838676,0.09711742347198762,0.12003184788532907
desire,0.002463105973415028,-0.04433786702516268,-0.16208760038750022,-0.013854049904603118,-0.08432934106090678,0.1136931697955022,0.2502443723920879,0.16431855900755923,0.19088666513782374,0.2564750398103407,0.01765680530173497,0.6827708793123872,-0.1628690311389743,-0.20309320246818033,-0.07767251220341365,-0.018267262132841956,0.26263033392845153,0.2077248277856459,-0.28128624461771207,-0.05486091558292597,-0.11359132591911081,0.032214017920068456,0.007003486809939095,-0.008935504903461181,-0.0032869562782017856,0.01153120167950869,-0.001270907758443421,0.10289552320684772
disappointment,0.4246098105508523,-0.02664829368545963,-0.10600745866195134,-0.12783017978441993,-0.0010655270752229283,-0.1348856189637374,-0.04516567799959641,0.008121401323394933,0.0434129161461562,-0.012409763195416482,0.061007000764354176,0.1276540742615088,0.11437207244931033,0.13125465882916132,0.1586976166224804,-0.2573349794745632,-0.09066375588044426,-0.10844650364409958,0.0024479126218200616,0.052348557352123425,-0.045451655825564895,-0.0708647902105043,0.5954457820656489,0.07334826116660625,-0.22520382550215765,0.21542784820539457,0.3723946884935873,0.0423323790687225
