,Variance,Std Dev,Mean
gratitude,0.12944545601331656,0.359785291546662,0.17866105395460566
admiration,0.082252907688142,0.28679767727117667,0.13752488979347388
sadness,0.06906372424707098,0.26279977976982966,0.1432158988955562
neutral,0.055652414656661355,0.23590764009811416,0.13579420707428294
caring,0.04839363834929542,0.21998554122781666,0.10526220131662628
love,0.03321737775337816,0.18225635175043464,0.05583498058038908
approval,0.027057084827684822,0.16449037913411477,0.09477534484513622
optimism,0.026819211940922186,0.16376572272890988,0.06804559114580996
fear,0.02649847686455372,0.16278352762043743,0.04970342109710869
disappointment,0.02323152220802296,0.15241890370955619,0.08472143309928898
nervousness,0.019838837880248154,0.14085040958494993,0.04608047380208484
joy,0.01452581841635908,0.12052310324729894,0.038073932736340695
curiosity,0.013956639132154586,0.11813822045449383,0.032505418444353784
realization,0.012757223664609347,0.11294788030153265,0.05326617108347205
desire,0.00999447158735045,0.09997235411527754,0.026508658081886276
amusement,0.008711144184034741,0.09333351050954175,0.015046446589220587
annoyance,0.006784978859101463,0.08237098311360296,0.03186624650389618
confusion,0.005432428081822114,0.07370500716926981,0.017967109601042558
surprise,0.004707588426945014,0.06861186797446207,0.012115164435946955
disapproval,0.003413655091617592,0.0584264930628015,0.01697064073146854
remorse,0.0033105689755091095,0.05753754405176771,0.016277339786448443
anger,0.0030874635550541445,0.05556494897913742,0.011710161453710816
excitement,0.0019119384160827318,0.0437257180167774,0.012325949087340608
disgust,0.0017970603558326904,0.04239174867627768,0.010008584454040011
embarrassment,0.0017435983608016408,0.04175641700148183,0.009990403197077818
relief,0.0011276985942451632,0.033581223834833106,0.014753736308273459
pride,0.0004531462503991976,0.021287232098119228,0.0055817977586905924
grief,0.00016039578988721133,0.012664745946414058,0.007876266517887497
